         572076071 function calls (532629626 primitive calls) in 248.305 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       20    0.000    0.000    0.000    0.000 graph.py:32(<genexpr>)
        1    0.000    0.000    0.021    0.021 load_data.py:29(load_to_memory)
        1    0.000    0.000    0.004    0.004 load_data.py:41(_list_folders)
        1    0.000    0.000    0.002    0.002 load_data.py:45(_list_files)
        1    0.000    0.000    0.000    0.000 load_data.py:49(_find_err_rate_substring)
        1    0.000    0.000    0.008    0.008 load_data.py:58(generate_instances)
        1    0.000    0.000    0.000    0.000 load_data.py:9(__init__)
        1    0.000    0.000    0.000    0.000 node.py:113(is_goal)
 97242938   39.750    0.000   50.352    0.000 node.py:117(__eq__)
    24004    0.253    0.000    0.253    0.000 node.py:122(__str__)
    24001    0.008    0.000    0.260    0.000 node.py:131(__repr__)
    17530    0.003    0.000    0.003    0.000 node.py:134(__lt__)
    24001    0.028    0.000    0.041    0.000 node.py:137(__hash__)
        1    0.000    0.000    0.000    0.000 node.py:18(set_action_grounding_dict)
        1    0.000    0.000    0.000    0.000 node.py:25(set_planning_domain)
        1    0.000    0.000    0.000    0.000 node.py:32(set_planning_task)
    24001    1.006    0.000  164.056    0.007 node.py:39(__init__)
    24000    0.340    0.000  162.855    0.007 node.py:70(ground_repair)
    24000    0.005    0.000    0.005    0.000 node.py:90(compute_h_cost)
        1    0.123    0.123  164.189  164.189 node.py:97(get_neighbors)
 35764045   19.320    0.000   35.886    0.000 parser.py:18(tokenize)
35716041/192038   17.587    0.000   62.463    0.000 parser.py:25(parse_list_aux)
    24002    0.090    0.000   62.704    0.003 parser.py:8(parse_nested_list)
      285    0.000    0.000    0.004    0.000 pathlib.py:1050(iterdir)
      283    0.001    0.000    0.003    0.000 pathlib.py:1065(_make_child_relpath)
      288    0.000    0.000    0.002    0.000 pathlib.py:1157(__init__)
      288    0.000    0.000    0.000    0.000 pathlib.py:1164(__new__)
      288    0.001    0.000    0.001    0.000 pathlib.py:358(__init__)
      286    0.000    0.000    0.002    0.000 pathlib.py:380(with_segments)
        2    0.000    0.000    0.000    0.000 pathlib.py:387(_parse_path)
        2    0.000    0.000    0.000    0.000 pathlib.py:407(_load_parts)
        2    0.000    0.000    0.000    0.000 pathlib.py:420(_from_parsed_parts)
        3    0.000    0.000    0.000    0.000 pathlib.py:429(_format_parsed_parts)
      738    0.000    0.000    0.000    0.000 pathlib.py:437(__str__)
      288    0.000    0.000    0.000    0.000 pathlib.py:447(__fspath__)
      162    0.000    0.000    0.000    0.000 pathlib.py:484(_str_normcase)
     1958    0.000    0.000    0.001    0.000 pathlib.py:496(_parts_normcase)
      979    0.001    0.000    0.002    0.000 pathlib.py:531(__lt__)
      286    0.000    0.000    0.000    0.000 pathlib.py:551(drive)
      286    0.000    0.000    0.000    0.000 pathlib.py:560(root)
      414    0.000    0.000    0.000    0.000 pathlib.py:569(_tail)
        1    0.000    0.000    0.000    0.000 pathlib.py:57(_is_case_sensitive)
      128    0.000    0.000    0.000    0.000 pathlib.py:583(name)
        1    0.000    0.000    0.000    0.000 pathlib.py:591(suffix)
        3    0.000    0.000    0.000    0.000 pathlib.py:618(stem)
        1    0.000    0.000    0.000    0.000 pathlib.py:628(with_name)
        1    0.000    0.000    0.000    0.000 pathlib.py:642(with_suffix)
        1    0.000    0.000    0.000    0.000 pathlib.py:711(joinpath)
        1    0.000    0.000    0.000    0.000 pathlib.py:719(__truediv__)
      283    0.000    0.000    0.002    0.000 pathlib.py:835(stat)
      163    0.000    0.000    0.001    0.000 pathlib.py:870(is_dir)
      120    0.000    0.000    0.001    0.000 pathlib.py:886(is_file)
       20    0.000    0.000    0.000    0.000 pddl_types.py:10(__init__)
        1    0.000    0.000    0.001    0.001 pddl_types.py:31(set_supertypes)
   984234    0.136    0.000    0.136    0.000 pddl_types.py:44(__init__)
24061/24059    0.736    0.000    1.115    0.000 pddl_types.py:77(parse_typed_list)
    24000    0.040    0.000    0.207    0.000 plan.py:117(__init__)
   122560    6.230    0.000   23.233    0.000 plan.py:120(execute)
    98560    0.652    0.000    3.555    0.000 plan.py:143(compute_conflict)
   857016    0.177    0.000    0.177    0.000 plan.py:15(<genexpr>)
    24000    0.009    0.000    0.009    0.000 plan.py:24(check_goal)
    24000    0.342    0.000    0.754    0.000 plan.py:36(next_state)
   192000    0.035    0.000    0.035    0.000 plan.py:42(<genexpr>)
    24000    0.026    0.000    0.167    0.000 plan.py:54(__init__)
    24000    0.087    0.000    0.142    0.000 plan.py:64(_parse_plan)
    24000    0.271    0.000    0.491    0.000 plan.py:88(compute_subs)
   122560    1.118    0.000    1.806    0.000 plan.py:9(applicable)
       34    0.000    0.000    0.000    0.000 predicates.py:4(__init__)
       33    0.000    0.000    0.000    0.000 predicates.py:7(parse)
        1    0.041    0.041  248.304  248.304 run_experiments.py:13(experiment)
   122560    0.063    0.000    0.211    0.000 solvers.py:1083(get_model)
   260468    0.116    0.000    0.352    0.000 solvers.py:1111(get_core)
   260468    0.112    0.000    0.161    0.000 solvers.py:1193(time_accum)
   555372    0.248    0.000    0.922    0.000 solvers.py:1311(add_clause)
   383028    0.514    0.000    6.072    0.000 solvers.py:366(__init__)
   383028    0.154    0.000    0.812    0.000 solvers.py:374(__del__)
   383028    1.423    0.000    5.557    0.000 solvers.py:395(new)
   643496    0.435    0.000    2.010    0.000 solvers.py:451(delete)
   383028    0.247    0.000    4.003    0.000 solvers.py:6515(__init__)
   383028    0.152    0.000    0.217    0.000 solvers.py:6532(__del__)
   383028    0.950    0.000    3.757    0.000 solvers.py:6553(new)
   766056    0.265    0.000    1.424    0.000 solvers.py:6583(delete)
   505588    0.961    0.000    5.077    0.000 solvers.py:6592(solve)
   122560    0.087    0.000    0.148    0.000 solvers.py:6702(get_model)
   260468    0.123    0.000    0.235    0.000 solvers.py:6711(get_core)
   260468    0.049    0.000    0.049    0.000 solvers.py:6735(time_accum)
  2776860    0.982    0.000    3.155    0.000 solvers.py:6785(add_clause)
   505588    0.282    0.000    5.359    0.000 solvers.py:710(solve)
    24003    0.009    0.000    0.009    0.000 tasks.py:118(__init__)
        9    0.000    0.000    0.009    0.001 tasks.py:132(parse_domain)
   192008    6.908    0.000   20.642    0.000 tasks.py:201(parse_task)
  6120255    3.163    0.000    4.422    0.000 tasks.py:280(check_atom_consistency)
        1    0.000    0.000    0.000    0.000 threading.py:124(RLock)
   505588    0.258    0.000    0.383    0.000 threading.py:1483(current_thread)
   505588    0.083    0.000    0.083    0.000 threading.py:1629(main_thread)
      288    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x107f24900}
        4    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
        1    0.000    0.000    0.000    0.000 {built-in method _heapq.heappop}
    24001    0.026    0.000    0.037    0.000 {built-in method _heapq.heappush}
        3    0.000    0.000    0.000    0.000 {built-in method _io.open}
        1    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       10    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        7    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      163    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISDIR}
      120    0.000    0.000    0.000    0.000 {built-in method _stat.S_ISREG}
   505588    0.125    0.000    0.125    0.000 {built-in method _thread.get_ident}
   718056    0.131    0.000    0.131    0.000 {built-in method builtins.abs}
        1    0.000    0.000  248.305  248.305 {built-in method builtins.exec}
      282    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
 11627891    3.227    0.000    3.728    0.000 {built-in method builtins.hash}
  3064224    0.468    0.000    0.468    0.000 {built-in method builtins.id}
 98688120   10.970    0.000   10.970    0.000 {built-in method builtins.isinstance}
    24024    0.007    0.000    0.007    0.000 {built-in method builtins.iter}
3673823/3673821    0.561    0.000    0.561    0.000 {built-in method builtins.len}
   197120    0.129    0.000    0.129    0.000 {built-in method builtins.max}
   260472    0.211    0.000    0.265    0.000 {built-in method builtins.min}
 35884227    9.168    0.000   45.049    0.000 {built-in method builtins.next}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        4    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
