"file name","problem name","plan length","num ground repair","run secs","iteration max","branching factor avg","results exists","result g cost","result h cost","result f cost","fringe size max","num neighbours sum"
"astar_length_12_miconic_ps3-2-err-rate-0-1.yaml","miconic/ps3-2-err-rate-0-1","12","1","134.37","29","3.7241379310344827","True","1","0","1","81","108"
"astar_length_7_pegsol-08-strips_pp01-err-rate-0-3.yaml","pegsol-08-strips/pp01-err-rate-0-3","7","1","197.14","10","14.4","True","1","0","1","136","144"
"astar_length_7_miconic_ps2-3-err-rate-0-3.yaml","miconic/ps2-3-err-rate-0-3","7","1","16.29","8","1.875","True","1","0","1","9","15"
"astar_length_3_visitall-opt11-strips_pproblem02-full-err-rate-0-1.yaml","visitall-opt11-strips/pproblem02-full-err-rate-0-1","3","1","39.32","8","4.5","True","1","0","1","30","36"
"astar_length_9_mystery_pprob28-err-rate-0-3.yaml","mystery/pprob28-err-rate-0-3","9","1","565.01","27","16.703703703703702","True","1","0","1","426","451"
"astar_length_7_mystery_pprob11-err-rate-0-5.yaml","mystery/pprob11-err-rate-0-5","7","1","155.53","30","3.6","True","1","0","1","82","108"
"astar_length_7_driverlog_pp01-err-rate-0-1.yaml","driverlog/pp01-err-rate-0-1","7","1","87.53","8","9.125","True","1","0","1","67","73"
"astar_length_7_miconic_ps2-3-err-rate-0-5.yaml","miconic/ps2-3-err-rate-0-5","7","1","21.75","8","1.875","True","1","0","1","9","15"
"astar_length_11_gripper_pprob01-err-rate-0-3.yaml","gripper/pprob01-err-rate-0-3","11","1","832.56","187","3.3475935828877006","True","1","0","1","442","626"
"astar_length_5_transport-opt08-strips_pp01-err-rate-0-3.yaml","transport-opt08-strips/pp01-err-rate-0-3","5","1","54.17","12","3.1666666666666665","True","1","0","1","28","38"
"astar_length_7_ged-opt14-strips_pd-2-4-err-rate-0-1.yaml","ged-opt14-strips/pd-2-4-err-rate-0-1","7","1","170.72","130","1.1692307692307693","True","1","0","1","24","152"
"astar_length_10_rovers_pp01-err-rate-0-3.yaml","rovers/pp01-err-rate-0-3","10","1","163.57","67","1.7761194029850746","True","1","0","1","54","119"
"astar_length_3_miconic_ps1-1-err-rate-0-5.yaml","miconic/ps1-1-err-rate-0-5","3","1","5.67","4","0.75","True","1","0","1","1","3"
"astar_length_3_miconic_ps1-1-err-rate-0-1.yaml","miconic/ps1-1-err-rate-0-1","3","1","6.63","4","0.75","True","1","0","1","1","3"
"astar_length_5_mystery_pprob01-err-rate-0-3.yaml","mystery/pprob01-err-rate-0-3","5","1","359.59","17","16.823529411764707","True","1","0","1","273","286"
"astar_length_8_tpp_pp02-err-rate-0-3.yaml","tpp/pp02-err-rate-0-3","8","1","55.56","9","4.777777777777778","True","1","0","1","36","43"
"astar_length_12_visitall-opt11-strips_pproblem03-full-err-rate-0-1.yaml","visitall-opt11-strips/pproblem03-full-err-rate-0-1","12","1","347.41","207","1.1545893719806763","True","1","0","1","40","239"
"astar_length_3_visitall-opt11-strips_pproblem02-full-err-rate-0-5.yaml","visitall-opt11-strips/pproblem02-full-err-rate-0-5","3","1","31.05","8","4.5","True","1","0","1","30","36"
"astar_length_7_mprime_pprob21-err-rate-0-5.yaml","mprime/pprob21-err-rate-0-5","7","2","688.75","8","57.75","True","1","0","1","456","462"
"astar_length_8_tpp_pp02-err-rate-0-1.yaml","tpp/pp02-err-rate-0-1","8","1","20.49","9","1.3333333333333333","True","1","0","1","5","12"
"astar_length_13_ged-opt14-strips_pd-7-6-err-rate-0-5.yaml","ged-opt14-strips/pd-7-6-err-rate-0-5","13","1","377.06","251","1.0398406374501992","True","1","0","1","20","261"
"astar_length_12_rovers_pp03-err-rate-0-5.yaml","rovers/pp03-err-rate-0-5","12","1","118.21","15","5.4","True","1","0","1","68","81"
"astar_length_1_zenotravel_pp01-err-rate-0-1.yaml","zenotravel/pp01-err-rate-0-1","1","0","0.35","2","2.5","True","0","0","0","5","5"
"astar_length_13_miconic_ps3-1-err-rate-0-1.yaml","miconic/ps3-1-err-rate-0-1","13","0","109.19","14","5.571428571428571","True","0","0","0","66","78"
"astar_length_8_woodworking-sat08-strips_pp21-err-rate-0-5.yaml","woodworking-sat08-strips/pp21-err-rate-0-5","8","0","73.54","14","4.071428571428571","True","0","0","0","45","57"
"astar_length_7_ged-opt14-strips_pd-2-4-err-rate-0-5.yaml","ged-opt14-strips/pd-2-4-err-rate-0-5","7","0","177.95","130","1.1692307692307693","True","0","0","0","24","152"
"astar_length_8_rovers_pp02-err-rate-0-1.yaml","rovers/pp02-err-rate-0-1","8","0","34.75","21","1.1428571428571428","True","0","0","0","7","24"
"astar_length_10_hiking-opt14-strips_pptesting-2-2-3-err-rate-0-1.yaml","hiking-opt14-strips/pptesting-2-2-3-err-rate-0-1","10","0","488.6","11","33.63636363636363","True","0","0","0","361","370"
"astar_length_13_miconic_ps3-1-err-rate-0-3.yaml","miconic/ps3-1-err-rate-0-3","13","0","109.57","14","5.428571428571429","True","0","0","0","64","76"
"astar_length_1_ged-opt14-strips_pd-2-1-err-rate-0-3.yaml","ged-opt14-strips/pd-2-1-err-rate-0-3","1","0","0.13","2","0.5","True","0","0","0","1","1"
