log file,instance id,domain class,search algorithm,plan length,vanilla repair length,vanilla repair,goal reached,iteration,num nodes generated,h_max,sum h cost,sum f cost,sum h cost time,sum grounding time,search time,search g cost,search repair set,repair length comparison,repair string comparison,error message,error group,lift_prob,grounding method
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/pegsol-08-strips__pp04-err-rate-0-1.yaml,pegsol-08-strips__pp04-err-rate-0-1,pegsol-08-strips,g_astar,13,0,,True,14,14,0,0,0,0.72,0.59,3.11,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/satellite__pp02-pfile2-err-rate-0-3.yaml,satellite__pp02-pfile2-err-rate-0-3,satellite,g_astar,13,2,"switch_on,(power_on ?i),effPos,1
turn_to,(pointing ?s ?d_new),effPos,1",True,20,33,96,2716,1447,1.4,0.37,5.31,4.0,"switch_on,(power_on ?i),effPos,1
turn_to,(pointing ?s ?d_prev),precPos,-1
turn_to,(pointing ?s ?d_new),effPos,1
calibrate,(pointing ?s ?d),precPos,-1",longer,False,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/satellite__pp01-pfile1-err-rate-0-1.yaml,satellite__pp01-pfile1-err-rate-0-1,satellite,g_astar,9,0,,True,10,16,30,344,172,0.13,0.16,1.88,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/mystery__pprob20-err-rate-0-3.yaml,mystery__pprob20-err-rate-0-3,mystery,g_astar,8,1,"overcome,(fears ?c ?v),effPos,1",True,9,12,10,132,67,1.13,0.45,3.12,1.0,"overcome,(fears ?c ?v),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/freecell__pprobfreecell-3-5-err-rate-0-1.yaml,freecell__pprobfreecell-3-5-err-rate-0-1,freecell,g_astar,14,0,,True,15,15,0,0,0,1.02,0.47,3.14,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/scanalyzer-08-strips__pp01-err-rate-0-3.yaml,scanalyzer-08-strips__pp01-err-rate-0-3,scanalyzer-08-strips,g_astar,10,1,"analyze-2,(on ?c1 ?s2),effPos,1",False,2,,32,,,,,1.25,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/scanalyzer-08-strips__pp02-err-rate-0-5.yaml,scanalyzer-08-strips__pp02-err-rate-0-5,scanalyzer-08-strips,g_astar,14,1,"rotate-2,(cycle-2-with-analysis ?s2 ?s1),precPos,-1",False,7,,20,,,,,2.37,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/miconic__ps1-2-err-rate-0-3.yaml,miconic__ps1-2-err-rate-0-3,miconic,g_astar,4,2,"depart,(served ?p),effPos,1
up,(lift-at ?f1),effPos,1",True,5,5,4,24,14,0.02,0.06,1.31,2.0,"depart,(served ?p),effPos,1
up,(lift-at ?f1),effPos,1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/miconic__ps2-0-err-rate-0-1.yaml,miconic__ps2-0-err-rate-0-1,miconic,g_astar,8,1,"board,(passenger ?f),precPos,-1",False,2,,20,,,,,1.31,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/miconic__ps1-1-err-rate-0-5.yaml,miconic__ps1-1-err-rate-0-5,miconic,g_astar,3,1,"depart,(boarded ?p),precPos,-1",True,4,4,4,16,9,0.01,0.05,1.19,1.0,"depart,(boarded ?p),precPos,-1",equal,True,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/mprime__pprob20-err-rate-0-1.yaml,mprime__pprob20-err-rate-0-1,mprime,g_astar,7,0,,True,8,11,8,32,16,0.26,0.37,2.27,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/mprime__pprob35-err-rate-0-1.yaml,mprime__pprob35-err-rate-0-1,mprime,g_astar,6,0,,True,7,7,0,0,0,0.11,0.19,1.52,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/mystery__pprob09-err-rate-0-5.yaml,mystery__pprob09-err-rate-0-5,mystery,g_astar,9,2,"succumb,(craves ?c ?n),effPos,1
feast,(craves ?v ?n2),effPos,1",False,5,,12,,,,,2.32,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/miconic__ps1-4-err-rate-0-3.yaml,miconic__ps1-4-err-rate-0-3,miconic,g_astar,4,1,"board,(floor ?p),effPos,1",False,4,,4,,,,,1.22,,,,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/mprime__pprob26-err-rate-0-1.yaml,mprime__pprob26-err-rate-0-1,mprime,g_astar,6,0,,True,7,10,0,0,0,0.13,0.24,1.62,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/freecell__pprobfreecell-3-3-err-rate-0-1.yaml,freecell__pprobfreecell-3-3-err-rate-0-1,freecell,g_astar,13,0,,True,14,15,12,24,12,0.88,0.43,3.99,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/mystery__pprob19-err-rate-0-3.yaml,mystery__pprob19-err-rate-0-3,mystery,g_astar,6,0,,True,8,11,0,0,0,0.23,0.36,1.91,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/scanalyzer-08-strips__pp04-err-rate-0-5.yaml,scanalyzer-08-strips__pp04-err-rate-0-5,scanalyzer-08-strips,g_astar,14,0,,True,17,18,0,0,0,0.98,0.43,3.13,0.0,,equal,,,,0.33,
/home/remote/u7899572/lifted-white-plan-domain-repair/exp_logs_anu/g_astar-unary relax-prec lp033/mprime__pprob33-err-rate-0-1.yaml,mprime__pprob33-err-rate-0-1,mprime,g_astar,14,0,,True,29,29,0,0,0,2.21,1.61,5.73,0.0,,equal,,,,0.33,
