grounding method,lift_prob,search algorithm,domain class,instance_count,C_rate,C_abs,Q,max_h
G3,0.33,GBFS_FF,tpp,12,0.0,0.0,,0.0
G3,0.33,GBFS_FF,zeno,21,0.86,18.0,88.89,3.0
G3,0.33,DFS,blks,21,1.0,21.0,52.38,
G3,0.33,DFS,depot,3,1.0,3.0,33.33,
G3,0.33,DFS,drivL,6,1.0,6.0,83.33,
G3,0.33,DFS,fCell,36,0.0,0.0,,
G3,0.33,DFS,grid,3,1.0,3.0,33.33,
G3,0.33,DFS,grip,3,1.0,3.0,0.0,
G3,0.33,DFS,log98,3,1.0,3.0,0.0,
G3,0.33,DFS,mic,48,1.0,48.0,62.5,
G3,0.33,DFS,mprim,96,0.16,15.0,26.67,
G3,0.33,DFS,myst,51,0.35,18.0,27.78,
G3,0.33,DFS,rovs,12,1.0,12.0,66.67,
G3,0.33,DFS,sat,9,1.0,9.0,0.0,
G3,0.33,DFS,tpp,12,0.0,0.0,,
G3,0.33,DFS,zeno,21,1.0,21.0,90.48,
G3,0.66,UCS,blks,21,1.0,21.0,100.0,0.0
G3,0.66,UCS,depot,3,0.67,2.0,100.0,0.0
G3,0.66,UCS,drivL,6,1.0,6.0,100.0,0.0
G3,0.66,UCS,fCell,36,0.0,0.0,,
G3,0.66,UCS,grid,3,0.67,2.0,100.0,0.0
G3,0.66,UCS,grip,3,1.0,3.0,100.0,0.0
G3,0.66,UCS,log98,3,0.0,0.0,,
G3,0.66,UCS,mic,48,1.0,48.0,100.0,0.0
G3,0.66,UCS,mprim,96,0.0,0.0,,
G3,0.66,UCS,myst,51,0.0,0.0,,
G3,0.66,UCS,rovs,12,0.92,11.0,100.0,0.0
G3,0.66,UCS,sat,9,0.56,5.0,100.0,0.0
G3,0.66,UCS,tpp,12,0.0,0.0,,0.0
G3,0.66,UCS,zeno,21,0.14,3.0,100.0,0.0
G3,0.66,A*_FF,blks,21,0.95,20.0,75.0,5.0
G3,0.66,A*_FF,depot,3,0.0,0.0,,
G3,0.66,A*_FF,drivL,6,0.83,5.0,80.0,4.0
G3,0.66,A*_FF,fCell,36,0.0,0.0,,
G3,0.66,A*_FF,grid,3,0.0,0.0,,
G3,0.66,A*_FF,grip,3,0.67,2.0,50.0,5.0
G3,0.66,A*_FF,log98,3,0.0,0.0,,
G3,0.66,A*_FF,mic,48,0.94,45.0,84.44,7.0
G3,0.66,A*_FF,mprim,96,0.0,0.0,,
G3,0.66,A*_FF,myst,51,0.0,0.0,,
G3,0.66,A*_FF,rovs,12,1.0,12.0,100.0,7.0
G3,0.66,A*_FF,sat,9,0.56,5.0,100.0,4.0
G3,0.66,A*_FF,tpp,12,0.0,0.0,,0.0
G3,0.66,A*_FF,zeno,21,0.14,3.0,100.0,0.0
G3,0.66,GBFS_FF,blks,21,0.9,19.0,31.58,5.0
G3,0.66,GBFS_FF,depot,3,0.33,1.0,0.0,4.0
G3,0.66,GBFS_FF,drivL,6,0.83,5.0,0.0,4.0
G3,0.66,GBFS_FF,fCell,36,0.0,0.0,,
G3,0.66,GBFS_FF,grid,3,0.0,0.0,,
G3,0.66,GBFS_FF,grip,3,1.0,3.0,0.0,3.0
G3,0.66,GBFS_FF,log98,3,0.0,0.0,,
G3,0.66,GBFS_FF,mic,48,0.96,46.0,56.52,5.0
G3,0.66,GBFS_FF,mprim,96,0.0,0.0,,
G3,0.66,GBFS_FF,myst,51,0.0,0.0,,
G3,0.66,GBFS_FF,rovs,12,0.83,10.0,40.0,6.0
G3,0.66,GBFS_FF,sat,9,0.56,5.0,40.0,5.0
G3,0.66,GBFS_FF,tpp,12,0.0,0.0,,0.0
G3,0.66,GBFS_FF,zeno,21,0.14,3.0,100.0,0.0
G3,0.66,DFS,blks,21,0.86,18.0,11.11,
G3,0.66,DFS,depot,3,1.0,3.0,0.0,
G3,0.66,DFS,drivL,6,1.0,6.0,0.0,
G3,0.66,DFS,fCell,36,0.0,0.0,,
G3,0.66,DFS,grid,3,1.0,3.0,0.0,
G3,0.66,DFS,grip,3,1.0,3.0,0.0,
G3,0.66,DFS,log98,3,1.0,3.0,0.0,
G3,0.66,DFS,mic,48,1.0,48.0,37.5,
G3,0.66,DFS,mprim,96,0.03,3.0,0.0,
G3,0.66,DFS,myst,51,0.12,6.0,0.0,
G3,0.66,DFS,rovs,12,0.92,11.0,9.09,
G3,0.66,DFS,sat,9,0.78,7.0,0.0,
G3,0.66,DFS,tpp,12,0.0,0.0,,
G3,0.66,DFS,zeno,21,0.86,18.0,22.22,
G3,1.0,UCS,blks,21,0.9,19.0,100.0,0.0
G3,1.0,UCS,depot,3,0.0,0.0,,
G3,1.0,UCS,drivL,6,0.0,0.0,,
G3,1.0,UCS,fCell,36,0.0,0.0,,
G3,1.0,UCS,grid,3,0.0,0.0,,
G3,1.0,UCS,grip,3,0.33,1.0,100.0,0.0
G3,1.0,UCS,log98,3,0.0,0.0,,
G3,1.0,UCS,mic,48,0.98,47.0,100.0,0.0
G3,1.0,UCS,mprim,96,0.0,0.0,,
G3,1.0,UCS,myst,51,0.0,0.0,,
G3,1.0,UCS,rovs,12,0.83,10.0,100.0,0.0
G3,1.0,UCS,sat,9,0.0,0.0,,
G3,1.0,UCS,tpp,12,0.0,0.0,,0.0
G3,1.0,UCS,zeno,21,0.0,0.0,,
G3,1.0,A*_FF,blks,21,0.76,16.0,81.25,4.0
G3,1.0,A*_FF,depot,3,0.0,0.0,,
G3,1.0,A*_FF,drivL,6,0.0,0.0,,
G3,1.0,A*_FF,fCell,36,0.0,0.0,,
G3,1.0,A*_FF,grid,3,0.0,0.0,,
G3,1.0,A*_FF,grip,3,0.0,0.0,,
G3,1.0,A*_FF,log98,3,0.0,0.0,,
G3,1.0,A*_FF,mic,48,0.88,42.0,71.43,6.0
G3,1.0,A*_FF,mprim,96,0.0,0.0,,
G3,1.0,A*_FF,myst,51,0.0,0.0,,
G3,1.0,A*_FF,rovs,12,0.83,10.0,100.0,6.0
G3,1.0,A*_FF,sat,9,0.0,0.0,,
G3,1.0,A*_FF,tpp,12,0.0,0.0,,0.0
G3,1.0,A*_FF,zeno,21,0.0,0.0,,
G3,1.0,GBFS_FF,blks,21,0.71,15.0,0.0,4.0
G3,1.0,GBFS_FF,depot,3,0.0,0.0,,
G3,1.0,GBFS_FF,drivL,6,0.33,2.0,0.0,2.0
G3,1.0,GBFS_FF,fCell,36,0.0,0.0,,
G3,1.0,GBFS_FF,grid,3,0.0,0.0,,
G3,1.0,GBFS_FF,grip,3,0.67,2.0,0.0,2.0
G3,1.0,GBFS_FF,log98,3,0.0,0.0,,
G3,1.0,GBFS_FF,mic,48,1.0,48.0,35.42,6.0
G3,1.0,GBFS_FF,mprim,96,0.0,0.0,,
G3,1.0,GBFS_FF,myst,51,0.0,0.0,,
G3,1.0,GBFS_FF,rovs,12,0.17,2.0,0.0,7.0
G3,1.0,GBFS_FF,sat,9,0.0,0.0,,
G3,1.0,GBFS_FF,tpp,12,0.0,0.0,,0.0
G3,1.0,GBFS_FF,zeno,21,0.0,0.0,,
G3,1.0,DFS,blks,21,0.76,16.0,0.0,
G3,1.0,DFS,depot,3,0.0,0.0,,
G3,1.0,DFS,drivL,6,0.5,3.0,0.0,
G3,1.0,DFS,fCell,36,0.0,0.0,,
G3,1.0,DFS,grid,3,0.0,0.0,,
G3,1.0,DFS,grip,3,1.0,3.0,0.0,
G3,1.0,DFS,log98,3,0.0,0.0,,
G3,1.0,DFS,mic,48,1.0,48.0,37.5,
G3,1.0,DFS,mprim,96,0.0,0.0,,
G3,1.0,DFS,myst,51,0.0,0.0,,
G3,1.0,DFS,rovs,12,0.25,3.0,33.33,
G3,1.0,DFS,sat,9,0.33,3.0,0.0,
G3,1.0,DFS,tpp,12,0.0,0.0,,
G3,1.0,DFS,zeno,21,0.1,2.0,100.0,
