file_name,problem_name,plan_length,num_ground_repair,str_ground_repair,run_time,error,results_exists,result_depth,result_repair_set,result_g_cost,result_h_cost,result_f_cost,depth_min,depth_max,depth_median,depth_avg,branching_factor_min,branching_factor_max,branching_factor_median,branching_factor_avg,fringe_size_min,fringe_size_max,fringe_size_median,fringe_size_avg,h_cost_min,h_cost_max,h_cost_median,h_cost_avg,g_cost_min,g_cost_max,g_cost_median,g_cost_avg,f_cost_min,f_cost_max,f_cost_median,f_cost_avg
bfs_length_4_tidybot-opt11-strips_pp01-err-rate-0-5.yaml,tidybot-opt11-strips/pp01-err-rate-0-5,4,0,,0.0 hours = 0.0 minutes = 0.59 seconds,,True,4,,0,0,0,0,4,2,2,0,4,2,2,4,7,6,6,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_5_mprime_pprob27-err-rate-0-3.yaml,mprime/pprob27-err-rate-0-3,5,0,,0.0 hours = 0.1 minutes = 3.52 seconds,,True,5,,0,0,0,0,5,3.5,3.0833333333333335,0,405,2.0,36.083333333333336,6,423,416.5,349.1666666666667,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_8_tpp_pp02-err-rate-0-5.yaml,tpp/pp02-err-rate-0-5,8,0,,0.0 hours = 0.0 minutes = 0.95 seconds,,True,8,,0,0,0,0,8,4,4,0,2,1,1.3333333333333333,2,5,3,3.5555555555555554,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_7_data-network-opt18-strips_pp02-err-rate-0-3.yaml,data-network-opt18-strips/pp02-err-rate-0-3,7,0,,0.0 hours = 0.0 minutes = 0.15 seconds,,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_7_mprime_pprob20-err-rate-0-5.yaml,mprime/pprob20-err-rate-0-5,7,0,,,,False,0,6,6,5.911688311688311,0,2750,0,123.83376623376624,6,47318,29066,30051.74025974026,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_4_miconic_ps1-3-err-rate-0-5.yaml,miconic/ps1-3-err-rate-0-5,4,0,,0.0 hours = 0.0 minutes = 0.38 seconds,,True,4,,0,0,0,0,4,2,2,0,1,1,0.8,0,1,1,0.8,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_8_rovers_pp02-err-rate-0-1.yaml,rovers/pp02-err-rate-0-1,8,0,,0.0 hours = 0.0 minutes = 2.25 seconds,,True,8,,0,0,0,0,8,4,4.285714285714286,0,6,1,1.1428571428571428,2,7,6,5.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_10_blocks_pprobBLOCKS-6-1-err-rate-0-5.yaml,blocks/pprobBLOCKS-6-1-err-rate-0-5,10,0,,0.0 hours = 0.8 minutes = 50.47 seconds,,True,10,,0,0,0,0,10,7.0,6.945121951219512,0,5,1.0,1.0264227642276422,1,17,10.0,10.432926829268293,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
bfs_length_6_blocks_pprobBLOCKS-4-0-err-rate-0-5.yaml,blocks/pprobBLOCKS-4-0-err-rate-0-5,6,0,,0.0 hours = 0.1 minutes = 3.52 seconds,,True,6,,0,0,0,0,6,4,3.5428571428571427,0,4,1,1.1428571428571428,3,8,6,5.828571428571428,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_4_mprime_pprob17-err-rate-0-5.yaml,mprime/pprob17-err-rate-0-5,4,0,,,,False,0,3,3,2.9429494079655543,0,1136,0,50.22604951560818,1136,45753,24219,23783.63401506997,0,0,0,0,0,0,0,0,0,0,0,0
bfs_length_11_mprime_pprob09-err-rate-0-3.yaml,mprime/pprob09-err-rate-0-3,11,0,,,,False,0,10,10.0,9.859545653123634,0,504,0.0,8.288772389689822,15,33373,17088.5,16932.350371341196,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0
